K326	일산	1.7
K325	풍산	1.9
K324	백마	1.7
K323	곡산	1.6
K322	대곡	1.7
K321	능곡	1.8
K320	행신	1.5
K319	강매	0.9
K318	화전	2.5
K317	수색	3.4
K316	디지털미디어시티	0.6
K315	가좌	1.7
K314	홍대입구	1.7
K313	서강대	0.9
K312	공덕	1.9
K311	효창공원앞	1
K110	용산	1.5
K111	이촌	1.9
K112	서빙고	1.7
K113	한남	1.9
K114	옥수	1.6
K115	응봉	1.8
K116	왕십리	1.4
K117	청량리	2.4
K118	회기	1.4
K119	중랑	1.8
K120	상봉	0.8
K121	망우	0.6
K122	양원	1.7
K123	구리	3.2
K124	도농	1.7
K125	양정	3.7
K126	덕소	2.3
K127	도심	1.5
K128	팔당	4.2
K129	운길산	6.4
K130	양수	1.9
K131	신원	4.7
K132	국수	2.9
K133	아신	4.1
K134	오빈	2.8
K135	양평	2.2
K136	원덕	5.8
K137	용문	4.8
K138	지평	3.8

K117	청량리	0
K118	회기	1.4
K119	중랑	1.8
K120	상봉	0.8
K121	망우	0.6
P122	신내	2.1
P123	갈매	2.6
P124	별내	1.4
P125	퇴계원	1.6
P126	사릉	3.3
P127	금곡	3.6
P128	평내호평	4
P129	천마산	4.2
P130	마석	2.2
P131	대성리	7.4
P132	청평	7.5
P133	상천	4.8
P134	가평	7.1
P135	굴봉산	4.7
P136	백양리	2.9
P137	강촌	5.3
P138	김유정	7.4
P139	남춘천	5.9
P140	춘천	2.7

119	광운대	0
K120	상봉	0

K410	판교	0
K411	이매	1.5
K412	삼동	6.9
K413	경기광주	4.9
K414	초월	5
K415	곤지암	4.9
K416	신둔도예촌	6.8
K417	이천	7.8
K418	부발	4.5
K419	세종대왕릉	8.3
K420	여주	5.4
